lambda,Psi,Delta,T,R,n_S,k_S
300,55.2217535040673,84.37228318652858,0.7762553687557993,0.22374463124420158,2.6726,3.0375
303,50.11187439117717,93.30850110460261,0.6803256791347012,0.3196743208652987,2.7346,3.0381
306,46.35824553293682,98.4368139214555,0.5919468276418188,0.40805317235818095,2.7967,3.0368
309,43.50539340846923,101.18051798254379,0.5149156243939906,0.485084375606009,2.8588,3.0334
312,41.2939286479171,102.19236832097847,0.45171403685707545,0.5482859631429254,2.9206,3.0279
315,39.48751216915507,101.93001999638571,0.4007233338419105,0.5992766661580904,2.9822,3.0205
318,37.903083034486095,100.64846103754117,0.35903341376848835,0.6409665862315121,3.0435,3.0109
321,36.47640802590125,98.54577151146762,0.325760374427989,0.6742396255720119,3.1042,2.9994
324,35.12615859461136,95.72242204873129,0.2988943380171948,0.7011056619828056,3.1644,2.9858
327,33.81035049536326,92.24917143729347,0.27719554481013725,0.7228044551898637,3.2238,2.9702
330,32.501776148272526,88.16504586277904,0.25967891965522494,0.7403210803447751,3.2825,2.9527
333,31.185620929864342,83.49011715124061,0.24558786615188177,0.7544121338481181,3.3402,2.9333
336,29.87035503463693,78.28353810957101,0.23445175169855945,0.7655482483014409,3.397,2.9121
339,28.535036776365615,72.42365038817451,0.225540624150679,0.7744593758493216,3.4526,2.8891
342,27.22011335405808,66.01561507685854,0.2187372293646625,0.781262770635338,3.5071,2.8643
345,25.93759419094621,58.98014537752307,0.21363786401096949,0.7863621359890307,3.5602,2.838
348,24.71912962073942,51.30050876405186,0.21004498512309153,0.7899550148769087,3.612,2.8101
351,23.60500153187547,42.98003620396505,0.20780031031725993,0.7921996896827397,3.6624,2.7807
354,22.639975814845386,34.05673907579183,0.2067845312134231,0.7932154687865774,3.7113,2.7499
357,21.874756418713435,24.72880143452733,0.2069139833329312,0.7930860166670692,3.7587,2.7178
360,21.33236200524973,14.931951740592174,0.20810050134385952,0.7918994986561405,3.8044,2.6846
363,21.04562265747798,5.088672678555904,0.2103090547151315,0.7896909452848685,3.8486,2.6502
366,21.018392647573467,-4.7906966981731145,0.2135380720018161,0.7864619279981842,3.8911,2.6149
369,21.235615153220383,-14.244875487195076,0.2177349665084913,0.7822650334915089,3.9318,2.5787
372,21.67018511791233,-23.204359890776193,0.22292645521220175,0.7770735447877987,3.9709,2.5417
375,22.285351510683824,-31.538572998436123,0.22913527136800033,0.7708647286319997,4.0083,2.504
378,23.041453554025495,-39.1802740721865,0.23639520225022878,0.7636047977497713,4.044,2.4657
381,23.900866096071166,-46.11122203031471,0.24474753333652077,0.7552524666634797,4.0779,2.427
384,24.831055167504807,-52.35382841001868,0.2542564289051659,0.7457435710948347,4.1102,2.3878
387,25.79203598223988,-57.880386637044516,0.2648504488229211,0.7351495511770794,4.1408,2.3483
390,26.79256317850451,-62.87421351728882,0.276862205045289,0.7231377949547113,4.1697,2.3085
393,27.80693059055807,-67.31077062286566,0.29024815341885224,0.7097518465811479,4.197,2.2687
396,28.81192849776702,-71.19377913625716,0.304926258673992,0.6950737413260083,4.2227,2.2287
399,29.834906238901624,-74.65745333576244,0.32135674205195724,0.6786432579480436,4.2469,2.1887
402,30.8462236602545,-77.65304670978217,0.33923383834346627,0.6607661616565342,4.2695,2.1488
405,31.865142151563123,-80.25389197334215,0.35885354620677073,0.6411464537932293,4.2907,2.1091
408,32.91314744828499,-82.50666914164471,0.3806320507390668,0.6193679492609337,4.3104,2.0695
411,33.96806053407172,-84.38015416983372,0.40410264168136184,0.5958973583186378,4.3287,2.0301
414,35.056485771472424,-85.9159966901521,0.4296192920861251,0.5703807079138756,4.3457,1.991
417,36.19138921676632,-87.12412523820616,0.4572478110389997,0.542752188961,4.3614,1.9523
420,37.387936668915806,-88.01204356974242,0.4870390724925573,0.5129609275074435,4.3758,1.9139
423,38.66440249511919,-88.58192847305045,0.518974614609993,0.4810253853900076,4.3891,1.876
426,40.04080472645432,-88.83411244316741,0.5530057316070082,0.4469942683929921,4.4012,1.8385
429,41.54066562971724,-88.76463706548738,0.5889986702247441,0.41100132977525744,4.4122,1.8014
432,43.19029069609478,-88.36407107026268,0.626709287224745,0.3732907127752551,4.4222,1.7649
435,45.01861995228917,-87.61986990587634,0.6658110520159983,0.3341889479840021,4.4311,1.7289
438,47.05797502098671,-86.51096204947429,0.7058425097182471,0.2941574902817533,4.4391,1.6934
441,49.34177271122526,-85.00623706039366,0.7462108682275117,0.25378913177248774,4.4462,1.6584
444,51.861252706944775,-83.10725182570864,0.7856016136272781,0.21439838637272235,4.4524,1.624
447,54.72379053959393,-80.65099414220423,0.8243598941449413,0.17564010585505935,4.4578,1.5902
450,57.912009897733725,-77.5569837038146,0.8609721848466909,0.13902781515331,4.4625,1.557
453,61.37011760217599,-73.71712306681805,0.8940055921395409,0.10599440786045951,4.4664,1.5244
456,65.17346292237116,-68.61482961652752,0.9235332288630993,0.07646677113690148,4.4696,1.4923
459,69.17832702229654,-61.666887037756666,0.9481692947438779,0.051830705256122385,4.4721,1.4609
462,73.13302259182683,-51.835735356810225,0.9670038281299244,0.03299617187007564,4.474,1.43
465,76.75835202653103,-36.38391062516266,0.980115955938469,0.01988404406153161,4.4753,1.3997
468,79.19401694799397,-12.919300297702163,0.9869297522946835,0.013070247705317554,4.4761,1.37
471,79.50819751964075,16.593219201964818,0.9877211779459866,0.012278822054015663,4.4763,1.3409
474,77.55095516072952,41.99664179465818,0.9826055649082271,0.0173944350917728,4.4761,1.3124
477,74.40165851343383,58.389321866862794,0.9723015355510204,0.02769846444897972,4.4754,1.2845
480,70.78338770537954,69.02167994039596,0.9570512812501192,0.042948718749881515,4.4742,1.2571
483,67.2359235584122,76.1329004973435,0.9381491352966322,0.06185086470336793,4.4727,1.2303
486,63.87211599070295,81.28253938847394,0.916111404921229,0.08388859507877182,4.4708,1.2041
489,60.764710139313735,85.19650535947373,0.891684419117501,0.10831558088249967,4.4685,1.1784
492,57.88726491515449,88.30325284229359,0.8650730341433812,0.13492696585661962,4.4658,1.1533
495,55.33535849369389,90.76720228375815,0.8378690290401151,0.16213097095988452,4.4629,1.1287
498,53.03792594808636,92.77352564741976,0.810148587274556,0.18985141272544417,4.4597,1.1046
501,50.971455855768276,94.41750027094149,0.7823723336414679,0.21762766635853378,4.4561,1.081
504,49.10980551188686,95.76198544084042,0.7548816688550526,0.24511833114494835,4.4524,1.0579
507,47.428752358955435,96.85559717904098,0.7279783156035659,0.2720216843964336,4.4484,1.0353
510,45.8792362767348,97.7377326945073,0.701376386302143,0.2986236136978575,4.4442,1.0132
513,44.49462999589758,98.4243058661619,0.6762404550768732,0.3237595449231277,4.4397,0.9916
516,43.22784917076203,98.94330678326085,0.6521504313604096,0.3478495686395916,4.4351,0.9705
519,42.06260395903425,99.3132949840184,0.6291762364571969,0.37082376354280266,4.4303,0.9498
522,40.98490589688072,99.54896072194693,0.6073493332427294,0.3926506667572703,4.4253,0.9295
525,39.98295819937491,99.66212570410863,0.5866692358490984,0.413330764150902,4.4202,0.9097
528,39.045999397106996,99.66414433751012,0.5671307504370251,0.4328692495629751,4.4149,0.8903
531,38.165397353719165,99.56305263836046,0.5486921385530987,0.4513078614469015,4.4096,0.8714
534,37.332638757801845,99.36860749189157,0.5313408957072197,0.468659104292781,4.404,0.8528
537,36.54150050819528,99.08598100850044,0.51501069098004,0.48498930901995857,4.3984,0.8346
540,35.79941588394586,98.73441564422843,0.4999722254414358,0.5000277745585644,4.3927,0.8169
543,35.07439855475628,98.29569726471266,0.4855441376933647,0.5144558623066355,4.3869,0.7995
546,34.375982375056694,97.78579167515839,0.4720029219557084,0.5279970780442922,4.381,0.7825
549,33.70012578565684,97.20865256482818,0.45929893059402443,0.540701069405976,4.375,0.7658
552,33.044069583371254,96.56758192221676,0.44737731263961505,0.5526226873603853,4.369,0.7495
555,32.40490550535806,95.86656890095273,0.43619986309105474,0.5638001369089455,4.3629,0.7336
558,31.779581546428663,95.10776305371579,0.4257210579830684,0.5742789420169319,4.3567,0.7179
